sentence_id,entity,tier,template_id,template_type,sentence,positions,n_tokens,layer,resid_post_mean,resid_post_std,resid_post_norm,mlp_out_mean,mlp_out_std,mlp_out_norm,attn_to_entity_mean,attn_from_entity_mean
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,0,2.4835269396561444e-09,0.43466460704803467,12.037933349609375,9.313225746154785e-09,0.3012736141681671,8.34370231628418,0.11486037820577621,0.1666666716337204
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,1,5.587935447692871e-09,0.5365234613418579,14.858890533447266,-3.1044086745701804e-10,0.202714204788208,5.61412239074707,0.07181990146636963,0.1666666716337204
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,2,-1.552204231813903e-08,0.5257341861724854,14.560087203979492,-2.041148583487029e-08,0.23408231139183044,6.48285436630249,0.14445683360099792,0.1666666716337204
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,3,-3.414849558680544e-08,0.5541709661483765,15.347635269165039,-1.210719347000122e-08,0.19103410840034485,5.290644645690918,0.10751675069332123,0.1666666716337204
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,4,-9.934107758624577e-09,0.5656070113182068,15.664353370666504,2.0566707448210764e-08,0.20244157314300537,5.606571197509766,0.04001853987574577,0.1666666716337204
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,5,-1.2417634698280722e-09,0.662699818611145,18.353315353393555,1.785034897672233e-09,0.24066416919231415,6.665137767791748,0.0649360790848732,0.1666666716337204
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,6,9.313225746154785e-09,0.7671554684638977,21.246187210083008,1.4280279181377864e-08,0.23085780441761017,6.393552303314209,0.04690830036997795,0.1666666716337204
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,7,3.321717301218996e-08,1.0161137580871582,28.141029357910156,2.4524828390326547e-08,0.3537232279777527,9.796280860900879,0.05438848212361336,0.1666666716337204
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,8,3.321717301218996e-08,0.9853589534759521,27.289283752441406,4.3461718668424965e-09,0.22867035865783691,6.332971572875977,0.07051187008619308,0.1666666865348816
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,9,5.091230192988405e-08,0.912178635597229,25.2625732421875,1.210719347000122e-08,0.4241558015346527,11.746894836425781,0.06352227926254272,0.1666666716337204
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,10,4.718701163142214e-08,1.0326298475265503,28.59843635559082,-4.3461718668424965e-09,0.5072402954101562,14.047900199890137,0.00413450226187706,0.1666666716337204
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,11,9.685754776000977e-08,3.518346071243286,97.43976593017578,2.7318796114172983e-08,2.8271450996398926,78.297119140625,0.04232364147901535,0.1666666716337204
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,0,1.2417634032146907e-08,0.44762298464775085,12.396814346313477,2.9802322387695312e-08,0.31805044412612915,8.808332443237305,0.1170254647731781,0.1666666865348816
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,1,1.7384687467369986e-08,0.5656928420066833,15.666728973388672,-8.149072527885437e-09,0.20201152563095093,5.594661712646484,0.0752858817577362,0.1666666865348816
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,2,2.4835269396561444e-09,0.5827892422676086,16.14021110534668,-1.055498888291595e-08,0.2020299881696701,5.595173358917236,0.1364826112985611,0.1666666716337204
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,3,-9.313225746154785e-09,0.5797294974327087,16.055471420288086,-1.2417634698280722e-09,0.18996217846870422,5.260958194732666,0.10885503888130188,0.1666666716337204
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,4,1.7384687467369986e-08,0.6049380302429199,16.75361442565918,2.064431647852416e-08,0.1886320263147354,5.224119663238525,0.03707444295287132,0.1666666716337204
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,5,6.829699028543246e-09,0.6917499303817749,19.157854080200195,-1.1175870895385742e-08,0.2354932725429535,6.521931171417236,0.04910445958375931,0.1666666716337204
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,6,8.07146260939362e-09,0.7861746549606323,21.772920608520508,4.03573130469681e-09,0.22486233711242676,6.227509021759033,0.03886245936155319,0.1666666716337204
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,7,8.692343733684993e-09,1.104761004447937,30.596094131469727,6.208817349140361e-10,0.4308493733406067,11.932273864746094,0.040643446147441864,0.1666666865348816
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,8,1.6763806343078613e-08,1.1276843547821045,31.230947494506836,1.2417634698280722e-09,0.2543235421180725,7.043429851531982,0.054860420525074005,0.1666666716337204
